country,country_code_2_digit,country_code_3_digit,population,reported_year_week,reported_week_start_date,reported_week_end_date,new_hospital_occupancy_count,new_icu_occupancy_count,source
Slovenia,SI,SVN,2080908,2020-W32,2020-08-02,2020-08-08,0,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W32,2020-08-02,2020-08-08,3,0,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W32,2020-08-02,2020-08-08,,0,
United Kingdom,UK,GBR,66647112,2020-W32,2020-08-02,2020-08-08,1,,
Belgium,BE,BEL,11455519,2020-W31,2020-07-26,2020-08-01,1,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W31,2020-07-26,2020-08-01,1,,
Cyprus,CY,CYP,875899,2020-W31,2020-07-26,2020-08-01,0,,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W31,2020-07-26,2020-08-01,1,0,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W31,2020-07-26,2020-08-01,0,,
Estonia,EE,EST,1324820,2020-W31,2020-07-26,2020-08-01,0,,"TESSy COVID-19, national daily data"
Estonia,EE,EST,1324820,2020-W31,2020-07-26,2020-08-01,,0,"TESSy COVID-19, national weekly data"
France,FR,FRA,67012883,2020-W31,2020-07-26,2020-08-01,,0,
Germany,DE,DEU,83019213,2020-W31,2020-07-26,2020-08-01,0,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W31,2020-07-26,2020-08-01,,0,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W31,2020-07-26,2020-08-01,0,0,
Latvia,LV,LVA,1919968,2020-W31,2020-07-26,2020-08-01,0,0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W31,2020-07-26,2020-08-01,0,,"TESSy COVID-19, national daily data"
Netherlands,NL,NLD,17282163,2020-W31,2020-07-26,2020-08-01,,0,
Portugal,PT,PRT,10276617,2020-W31,2020-07-26,2020-08-01,0,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W31,2020-07-26,2020-08-01,38,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W31,2020-07-26,2020-08-01,0,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W31,2020-07-26,2020-08-01,2,0,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W31,2020-07-26,2020-08-01,,0,
United Kingdom,UK,GBR,66647112,2020-W31,2020-07-26,2020-08-01,1,,
Belgium,BE,BEL,11455519,2020-W30,2020-07-19,2020-07-25,1,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W30,2020-07-19,2020-07-25,2,,
Cyprus,CY,CYP,875899,2020-W30,2020-07-19,2020-07-25,0,,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W30,2020-07-19,2020-07-25,1,0,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W30,2020-07-19,2020-07-25,0,,
Estonia,EE,EST,1324820,2020-W30,2020-07-19,2020-07-25,,0,"TESSy COVID-19, national weekly data"
Estonia,EE,EST,1324820,2020-W30,2020-07-19,2020-07-25,0,,"TESSy COVID-19, national daily data"
France,FR,FRA,67012883,2020-W30,2020-07-19,2020-07-25,,0,
Germany,DE,DEU,83019213,2020-W30,2020-07-19,2020-07-25,0,,"TESSy COVID-19, national daily data"
